,tree,boost,Rforest,svm-1,svm-2,kknn,lda,mda,fda,nnet
1,0.12,0.12,0.10,0.34,0.12,0.13,0.11,0.12,0.11,0.12
2,0.12,0.11,0.10,0.32,0.11,0.13,0.12,0.13,0.12,0.12
3,0.12,0.11,0.10,0.35,0.11,0.14,0.11,0.12,0.11,0.12
4,0.12,0.12,0.10,0.33,0.11,0.13,0.12,0.12,0.12,0.12
5,0.12,0.11,0.10,0.34,0.11,0.12,0.11,0.11,0.11,0.11
6,0.12,0.11,0.10,0.33,0.12,0.13,0.12,0.14,0.12,0.12
7,0.12,0.11,0.10,0.31,0.12,0.13,0.12,0.12,0.12,0.11
8,0.12,0.12,0.10,0.32,0.12,0.13,0.12,0.12,0.12,0.12
9,0.12,0.11,0.10,0.34,0.11,0.13,0.12,0.12,0.12,0.12
10,0.12,0.11,0.10,0.34,0.12,0.12,0.12,0.12,0.12,0.12
11,0.12,0.11,0.10,0.33,0.11,0.13,0.12,0.12,0.12,0.12
